name,Developed - High Intensity,Developed - Medium Intensity,Developed - Low Intensity,Developed - Open Space,Cultivated Crops,Pasture/Hay,Grassland/Herbaceous,Deciduous Forest,Evergreen Forest,Mixed Forest,Scrub/Shrub,Palustrine Forested Wetland,Palustrine Scrub/Shrub Wetland,Palustrine Emergent Wetland,Estuarine Forested Wetland,Estuarine Scrub/Shrub Wetland,Estuarine Emergent Wetland,Unconsolidated Shore,Barren Land,Open Water
Suisun Bay,38.72896502760002,146.7513459918001,152.70726138840007,95.62319822160005,66.19498921710004,4.815110271600004,451.67942946330027,9.905839061400005,37.15830453150002,147.9240936603001,112.90137632280008,1.6646628384000008,0.9016923708000005,47.40638513040003,0.07666210440000004,0.3130369263000002,219.19064614110013,0.6625796166000004,4.295815778700002,150.5424695832001
San Pablo Bay,76.96236430890005,222.01162905420014,221.71867029810014,98.04535566300007,267.85282955310015,20.423149669800015,563.7512122992003,52.63492317930003,363.1401747459002,225.13287187620014,339.9444123003002,6.305458086900004,2.5928218881000014,45.67874984910003,0.009126441000000006,0.6653175489000004,84.50445515130006,7.842350751300004,8.357994667800005,568.9085641083003
Coyote,84.65686671600005,340.4883481839002,199.99409014170013,107.89734872250007,18.33319468080001,2.182132043100001,220.11059139390014,1.3059937071000007,204.7188486474001,433.08795650220026,245.27036394270016,4.403507782500003,1.2996051984000008,11.823304315500009,0.11681844480000007,0.3212507232000002,31.568359419000018,3.9170684772000026,8.369859041100005,104.87558410740006
San Francisco Bay,153.9046504476001,423.5234463342003,222.31553953950015,133.8091400097001,19.80255168180001,4.5458802621000025,618.0088166883004,3.186953197200002,78.36874886700005,566.7337332180003,476.8538043177003,5.080689704700004,2.8611392535000015,26.850902066100016,0.06936095160000004,0.5913933768000004,26.723131892100017,9.620181458100006,14.093962836300008,506.3605007148003
